2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::powershell:::Select Windows PowerShell
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::wmplayer:::Windows Media Player
2017-08-02 17:59:56 [info] BaseTimerRunner | Hiding window::explorer:::eyetrack
2017-08-02 17:59:58 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:00:00 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 18:00:04 [info] BaseTimerRunner | Showing window::explorer:::eyetrack
2017-08-02 18:00:17 [info] AnimatingTimerRunner | hiding window owned by process Eyeflow with animation
2017-08-02 18:00:17 [info] AnimatingTimerRunner | hiding window owned by process chrome with animation
2017-08-02 18:00:19 [info] BaseTimerRunner | Showing window::powershell:::Select Windows PowerShell
2017-08-02 18:00:20 [info] AnimatingTimerRunner | hiding window owned by process explorer with animation
2017-08-02 18:00:21 [info] BaseTimerRunner | Showing window::chrome:::New Tab - Google Chrome
2017-08-02 18:00:22 [info] BaseTimerRunner | Showing window::Eyeflow:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\Eyeflow.exe
2017-08-02 18:00:29 [info] AnimatingTimerRunner | hiding window owned by process powershell with animation
2017-08-02 18:00:31 [info] BaseTimerRunner | Showing window::wmplayer:::Windows Media Player
2017-08-02 18:00:31 [info] BaseTimerRunner | Showing window::iexplore:::- Microsoft Edge Development - Internet Explorer
2017-08-02 18:00:31 [info] BaseTimerRunner | Showing window::notepad++:::C:\Users\IEUser\Dropbox\dev\dotnet\Eyeflow\Eyeflow\bin\x86\Debug\eyetrack\eyeflow.log - Notepad++
2017-08-02 18:00:37 [info] BaseTimerRunner | Showing window::devenv:::Eyeflow (Running) - Microsoft Visual Studio 
